City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Munich,1972,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,10m platform,M,Bronze
Munich,1972,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Gold
Munich,1972,Aquatics,Diving,"RYDZE, Richard Anthony",USA,Men,10m platform,M,Silver
Munich,1972,Aquatics,Diving,"JANICKE, Marina",GDR,Women,10m platform,W,Bronze
Munich,1972,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,10m platform,W,Gold
Munich,1972,Aquatics,Diving,"DUCHKOVA, Milena",TCH,Women,10m platform,W,Silver
Munich,1972,Aquatics,Diving,"LINCOLN, Craig Howard",USA,Men,3m springboard,M,Bronze
Munich,1972,Aquatics,Diving,"VASIN, Vladimir",URS,Men,3m springboard,M,Gold
Munich,1972,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Silver
Munich,1972,Aquatics,Diving,"JANICKE, Marina",GDR,Women,3m springboard,W,Bronze
Munich,1972,Aquatics,Diving,"KING, Maxine Joyce",USA,Women,3m springboard,W,Gold
Munich,1972,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,3m springboard,W,Silver
Munich,1972,Aquatics,Swimming,"MURPHY, John Joseph",USA,Men,100m backstroke,M,Bronze
Munich,1972,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100m backstroke,M,Gold
Munich,1972,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,100m backstroke,M,Silver
Munich,1972,Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,100m backstroke,W,Bronze
Munich,1972,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,100m backstroke,W,Gold
Munich,1972,Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100m backstroke,W,Silver
Munich,1972,Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,100m breaststroke,M,Bronze
Munich,1972,Aquatics,Swimming,"TAGUCHI, Nobutaka",JPN,Men,100m breaststroke,M,Gold
Munich,1972,Aquatics,Swimming,"BRUCE, Thomas Edwin",USA,Men,100m breaststroke,M,Silver
Munich,1972,Aquatics,Swimming,"WHITFIELD, Beverley Joy",AUS,Women,100m breaststroke,W,Bronze
Munich,1972,Aquatics,Swimming,"CARR, Catherine L.",USA,Women,100m breaststroke,W,Gold
Munich,1972,Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,100m breaststroke,W,Silver
Munich,1972,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,100m butterfly,M,Bronze
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,100m butterfly,M,Gold
Munich,1972,Aquatics,Swimming,"ROBERTSON, Bruce Richard",CAN,Men,100m butterfly,M,Silver
Munich,1972,Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100m butterfly,W,Bronze
Munich,1972,Aquatics,Swimming,"AOKI, Mayumi",JPN,Women,100m butterfly,W,Gold
Munich,1972,Aquatics,Swimming,"BEIER, Roswitha",GDR,Women,100m butterfly,W,Silver
Munich,1972,Aquatics,Swimming,"BURE, Vladimir",URS,Men,100m freestyle,M,Bronze
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,100m freestyle,M,Gold
Munich,1972,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,100m freestyle,M,Silver
Munich,1972,Aquatics,Swimming,"GOULD, Shane",AUS,Women,100m freestyle,W,Bronze
Munich,1972,Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,100m freestyle,W,Gold
Munich,1972,Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,100m freestyle,W,Silver
Munich,1972,Aquatics,Swimming,"NORTHWAY, Douglas Dale",USA,Men,1500m freestyle,M,Bronze
Munich,1972,Aquatics,Swimming,"BURTON, Michael Jay",USA,Men,1500m freestyle,M,Gold
Munich,1972,Aquatics,Swimming,"WINDEATT, Graham Claud",AUS,Men,1500m freestyle,M,Silver
Munich,1972,Aquatics,Swimming,"IVEY, Mitchell",USA,Men,200m backstroke,M,Bronze
Munich,1972,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,200m backstroke,M,Gold
Munich,1972,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,200m backstroke,M,Silver
Munich,1972,Aquatics,Swimming,"GURR, Donna Marie",CAN,Women,200m backstroke,W,Bronze
Munich,1972,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,200m backstroke,W,Gold
Munich,1972,Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,200m backstroke,W,Silver
Munich,1972,Aquatics,Swimming,"TAGUCHI, Nobutaka",JPN,Men,200m breaststroke,M,Bronze
Munich,1972,Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,200m breaststroke,M,Gold
Munich,1972,Aquatics,Swimming,"WILKIE, David Andrew",GBR,Men,200m breaststroke,M,Silver
Munich,1972,Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,200m breaststroke,W,Bronze
Munich,1972,Aquatics,Swimming,"WHITFIELD, Beverley Joy",AUS,Women,200m breaststroke,W,Gold
Munich,1972,Aquatics,Swimming,"SCHOENFIELD, Dana Lee",USA,Women,200m breaststroke,W,Silver
Munich,1972,Aquatics,Swimming,"BACKHAUS, Robin James",USA,Men,200m butterfly,M,Bronze
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,200m butterfly,M,Gold
Munich,1972,Aquatics,Swimming,"HALL, Gary Wayne",USA,Men,200m butterfly,M,Silver
Munich,1972,Aquatics,Swimming,"DANIEL, Eleanor Suzanne",USA,Women,200m butterfly,W,Bronze
Munich,1972,Aquatics,Swimming,"MOE-THORNTON, Karen Patricia",USA,Women,200m butterfly,W,Gold
Munich,1972,Aquatics,Swimming,"COLELLA, Lynn Ann",USA,Women,200m butterfly,W,Silver
Munich,1972,Aquatics,Swimming,"LAMPE, Werner",FRG,Men,200m freestyle,M,Bronze
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,200m freestyle,M,Gold
Munich,1972,Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,200m freestyle,M,Silver
Munich,1972,Aquatics,Swimming,"ROTHHAMMER, Keena Ruth",USA,Women,200m freestyle,W,Bronze
Munich,1972,Aquatics,Swimming,"GOULD, Shane",AUS,Women,200m freestyle,W,Gold
Munich,1972,Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,200m freestyle,W,Silver
Munich,1972,Aquatics,Swimming,"FURNISS, Steven Charles",USA,Men,200m individual medley,M,Bronze
Munich,1972,Aquatics,Swimming,"LARSSON, Gunnar",SWE,Men,200m individual medley,M,Gold
Munich,1972,Aquatics,Swimming,"MCKEE, Alexander Timothy",USA,Men,200m individual medley,M,Silver
Munich,1972,Aquatics,Swimming,"VIDALI, Lynn Marie",USA,Women,200m individual medley,W,Bronze
Munich,1972,Aquatics,Swimming,"GOULD, Shane",AUS,Women,200m individual medley,W,Gold
Munich,1972,Aquatics,Swimming,"ENDER, Kornelia",GDR,Women,200m individual medley,W,Silver
Munich,1972,Aquatics,Swimming,"MCBREEN, Thomas Sean",USA,Men,400m freestyle,M,Bronze
Munich,1972,Aquatics,Swimming,"COOPER, Bradford Paul",AUS,Men,400m freestyle,M,Gold
Munich,1972,Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,400m freestyle,M,Silver
Munich,1972,Aquatics,Swimming,"WEGNER, Gudrun",GDR,Women,400m freestyle,W,Bronze
Munich,1972,Aquatics,Swimming,"GOULD, Shane",AUS,Women,400m freestyle,W,Gold
Munich,1972,Aquatics,Swimming,"CALLIGARIS, Novella",ITA,Women,400m freestyle,W,Silver
Munich,1972,Aquatics,Swimming,"HARGITAY, Andras",HUN,Men,400m individual medley,M,Bronze
Munich,1972,Aquatics,Swimming,"LARSSON, Gunnar",SWE,Men,400m individual medley,M,Gold
Munich,1972,Aquatics,Swimming,"MCKEE, Alexander Timothy",USA,Men,400m individual medley,M,Silver
Munich,1972,Aquatics,Swimming,"CALLIGARIS, Novella",ITA,Women,400m individual medley,W,Bronze
Munich,1972,Aquatics,Swimming,"NEALL, Gail",AUS,Women,400m individual medley,W,Gold
Munich,1972,Aquatics,Swimming,"CLIFF, Leslie",CAN,Women,400m individual medley,W,Silver
Munich,1972,Aquatics,Swimming,"BRUCH, Peter",GDR,Men,4x100m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"HARTUNG, Wilfried",GDR,Men,4x100m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,4x100m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"UNGER, Lutz",GDR,Men,4x100m freestyle relay,M,Bronze
Munich,1972,Aquatics,Swimming,"EDGAR, David Holmes",USA,Men,4x100m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,4x100m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"MURPHY, John Joseph",USA,Men,4x100m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x100m freestyle relay,M,Gold
Munich,1972,Aquatics,Swimming,"ABOIMOV, Viktor",URS,Men,4x100m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"BURE, Vladimir",URS,Men,4x100m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"GRIVENNIKOV, Igor",URS,Men,4x100m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"MAZANOV, Viktor",URS,Men,4x100m freestyle relay,M,Silver
Munich,1972,Aquatics,Swimming,"BECKMANN, Gudrun",FRG,Women,4x100m freestyle relay,W,Bronze
Munich,1972,Aquatics,Swimming,"REINECK, Heidemarie",FRG,Women,4x100m freestyle relay,W,Bronze
Munich,1972,Aquatics,Swimming,"STEINBACH, Angela",FRG,Women,4x100m freestyle relay,W,Bronze
Munich,1972,Aquatics,Swimming,"WEBER, Judith (Jutta)",FRG,Women,4x100m freestyle relay,W,Bronze
Munich,1972,Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,4x100m freestyle relay,W,Gold
Munich,1972,Aquatics,Swimming,"BARKMAN, Jane Louise",USA,Women,4x100m freestyle relay,W,Gold
Munich,1972,Aquatics,Swimming,"KEMP, Jennifer Jo",USA,Women,4x100m freestyle relay,W,Gold
Munich,1972,Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,4x100m freestyle relay,W,Gold
Munich,1972,Aquatics,Swimming,"EIFE, Andrea",GDR,Women,4x100m freestyle relay,W,Silver
Munich,1972,Aquatics,Swimming,"ENDER, Kornelia",GDR,Women,4x100m freestyle relay,W,Silver
Munich,1972,Aquatics,Swimming,"SEHMISCH, Elke",GDR,Women,4x100m freestyle relay,W,Silver
Munich,1972,Aquatics,Swimming,"WETZKO, Gabriele",GDR,Women,4x100m freestyle relay,W,Silver
Munich,1972,Aquatics,Swimming,"FISH, Erik",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"KASTING, Robert",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"MAHONY, William",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"ROBERTSON, Bruce Richard",CAN,Men,4x100m medley relay,M,Bronze
Munich,1972,Aquatics,Swimming,"BRUCE, Thomas Edwin",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,4x100m medley relay,M,Gold
Munich,1972,Aquatics,Swimming,"FLÖCKNER, Hartmut",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"KATZUR, Klaus",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"UNGER, Lutz",GDR,Men,4x100m medley relay,M,Silver
Munich,1972,Aquatics,Swimming,"BECKMANN, Gudrun",FRG,Women,4x100m medley relay,W,Bronze
Munich,1972,Aquatics,Swimming,"EBERLE, Verena (Vreni)",FRG,Women,4x100m medley relay,W,Bronze
Munich,1972,Aquatics,Swimming,"PIELEN, Silke",FRG,Women,4x100m medley relay,W,Bronze
